mesenchymal,subclass of,precursor cells
pericyte,subclass of,periosteal
adipocytic,opposite of,osteoblastic differentiation
osteoblastic differentiation,opposite of,adipocytic
osteogenic differentiation,opposite of,adipogenic phenotype
intramuscular xenograft animal model,subclass of,in vivo xenograft animal model
cytoskeletal morphology,facet of,differentiation potential
Rac1,subject has role,inhibitor
TIAM1,subject has role,inhibitor
calcified vessel,different from,diseased area
diseased area,different from,calcified vessel
osteogenic,opposite of,adipogenic
adipogenic,opposite of,osteogenic
dilated cardiomyopathy,has cause,genetic mutations
arginine-serine-rich,instance of,domain
RS domain deletion,instance of,mouse model
DCM,has cause,mis-splicing
mis-splicing,has effect,DCM
RBM20,part of,sarcoplasm
sarcoplasm,has part,RBM20
sarcoplasm,has part,RBM20
sarcoplasm,has part,RBM20
RBM20,part of,sarcoplasm
RBM20,part of,sarcoplasm
RNA recognition motif,part of,RBM20
RNA recognition motif,part of,RBM20
granule assembly,subclass of,nucleocytoplasmic transport
RS domain,subclass of,nuclear localization signal
RS domain,part of,nucleocytoplasmic transport
DCM,has cause,NLS mutations
NLS mutations,has effect,DCM
early onset colorectal cancer,subclass of,EO-CRC
altered genetic background,has effect,Lifestyle factors
exon,part of,DNA
HNF1AA98V,subject has role,DNA binding
Cas9,part of,CRISPR/Cas9
chow,has part,HFD
chow,has part,HSD
HFD,subclass of,chow
HSD,subclass of,chow
HNF1A,instance of,gene
β-catenin,instance of,protein
promoter,part of,locus
β-catenin,part of,colonic polyps
Cdx2,part of,colonic polyps
Metabolic scaling,instance of,inverse correlation
mathematical modeling,subclass of,computational modeling
metabolic processes,has part,body size
in vitro,different from,in vivo
in vivo,different from,in vitro
mitochondrial,subclass of,metabolic processes
tissues,has parts of the class,cellular compartments
in vitro,different from,in vivo
in vivo,different from,in vitro
enzyme activity,part of,metabolism
deep boosted molecular dynamics,subclass of,molecular dynamics
Bayesian,studies,neural network
neural network,studied by,Bayesian
alanine dipeptide,instance of,protein
molecular dynamics,subclass of,simulations
folding,followed by,unfolding
GCAA,subclass of,RNAs
GAAA,subclass of,RNAs
UUCG,subclass of,RNAs
deep learning,studies,neural network
neural network,studied by,deep learning
OpenMM,developer,MiaoLab20
masting,subclass of,seed crops
ripple effect,facet of,food webs
variability from year to year,facet of,masting
heritability,facet of,phenotypic
periodicity,part of,frequency domain
frequency domain,has part,periodicity
Quercus robur,parent taxon,Quercus pubescens
data,studied by,analysis
analysis,studies,data
High content screening,subclass of,drug screening
multi-well plates,subclass of,culture platform
HCS,subclass of,drug screening
droplet,subclass of,microfluidic devices
microarray,subclass of,microfluidic devices
drug discovery,part of,pharmaceutical industry
HCS,use,drug discovery
HCS,use,drug discovery
stem cell,subclass of,biological technologies
microfluidic,part of,HCS
surgical resection,medical condition treated,solid tumor
AHB Gel,instance of,hydrogel
polyacrylamide,subclass of,hydrogel
TME,has part,ATP
AHB Gel,has effect,fluorescence
tumor,part of,tissue
tissue,has parts of the class,tumor
AHB Gel,subject has role,storage stability
AHB Gel,instance of,hydrogel
tumor,has part,tissues
